Product_Number,Non_Proprietary_Name,Manufacturer,Dosage,Unit,Category_Description,Price,Quantity
13668-160,telmisartan and hydrochlorthiazide,Torrent Pharmaceuticals Limited,12.5; 80,mg/1; mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC], Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS]",$8.64,54
25021-608,propofol,Sagent Pharmaceuticals,10,mg/mL,"General Anesthesia [PE], General Anesthetic [EPC]",$6.39,7
71335-2152,Valsartan,Bryant Ranch Prepack,80,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$15.84,60
59762-3051,AZITHROMYCIN,Greenstone LLC,1,g/1,"Macrolide Antimicrobial [EPC], Macrolides [CS]",$144.64,80
71610-050,simvastatin,"Aphena Pharma Solutions - Tennessee, LLC",40,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$20.79,95
43547-415,Lisinopril,"Solco healthcare U.S., LLC",5,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA]",$0.22,5
0703-1985,Epoprostenol Sodium,"Teva Parenteral Medicines, Inc.",0.5,mg/1,"Prostacycline Vasodilator [EPC], Prostaglandins I [CS], Vasodilation [PE]",$0.55,22
42291-466,Carbidopa and levodopa,AvKARE,25; 100,mg/1; mg/1,"Amino Acids, Aromatic [CS], Aromatic Amino Acid [EPC]",$47.85,6
47335-672,Diltiazem Hydrochloride,"Sun Pharmaceutical Industries, Inc.",300,mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC]",$65.72,41
71335-1145,Fluoxetine Hydrochloride,Bryant Ranch Prepack,40,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$30.03,1
51655-451,Clonidine hydrochloride,"Northwind Pharmaceuticals, LLC",0.3,mg/1,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$48.70,79
63323-356,Caspofungin Acetate,"Fresenius Kabi USA, LLC",5,mg/mL,"Echinocandin Antifungal [EPC], Lipopeptides [CS]",$96.65,45
68382-219,atomoxetine,Zydus Pharmaceuticals (USA) Inc.,60,mg/1,"Norepinephrine Reuptake Inhibitor [EPC], Norepinephrine Uptake Inhibitors [MoA]",$52.49,2
68071-4917,Pantoprazole Sodium,"NuCare Pharmaceuticals,Inc.",40,mg/1,"Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$6.42,38
70985-007,Midodrine Hydrochloride,Drug Ocean LLC,10,mg/1,"Adrenergic alpha-Agonists [MoA], alpha-Adrenergic Agonist [EPC]",$76.86,32
0002-8213,Insulin lispro,Eli Lilly and Company,100,[iU]/mL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",$35.92,13
71335-9623,Quetiapine Fumarate,Bryant Ranch Prepack,200,mg/1,Atypical Antipsychotic [EPC],$24.51,41
55292-702,hemin,"RECORDATI RARE DISEASES, INC.",7,mg/mL,,$31.48,5
71335-1469,Lamotrigine,Bryant Ranch Prepack,25,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Dihydrofolate Reductase Inhibitors [MoA], Mood Stabilizer [EPC], Organic Cation Transporter 2 Inhibitors [MoA]",$33.00,3
55154-7879,ondansetron hydrochloride,"Cardinal Health 107, LLC",8,mg/1,"Serotonin 3 Receptor Antagonists [MoA], Serotonin-3 Receptor Antagonist [EPC]",$31.00,44
68071-5221,METHYLPREDNISOLONE,"NuCare Pharmaceuticals,Inc.",4,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$13.96,43
79739-7182,Hydrocodone Bitartrate and Aspirin,"LGM Pharma Solutions, LLC",500; 5,mg/1; mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC], Opioid Agonist [EPC], Opioid Agonists [MoA], Platelet Aggregation Inhibitor [EPC]",$32.86,63
49884-124,Labetalol Hydrochloride,"Par Pharmaceutical, Inc.",300,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$73.59,36
68001-243,Zonisamide,BluePoint Laboratories,50,mg/1,"Anti-epileptic Agent [EPC], Carbonic Anhydrase Inhibitors [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE], P-Glycoprotein Inhibitors [MoA], Sulfonamides [CS]",$151.12,25
51862-947,Nortriptyline Hydrochloride,Mayne Pharma Inc.,50,mg/1,Tricyclic Antidepressant [EPC],$22.04,19
72189-135,ATENOLOL,direct rx,50,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$31.38,85
35573-461,Tadalafil,"Burel Pharmaceuticals, LLC",5,mg/1,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",$49.01,46
0378-0028,nadolol,Mylan Pharmaceuticals Inc.,20,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$2.46,69
70069-301,Succinylcholine Chloride,"Somerset Therapeutics, LLC",20,mg/mL,"Depolarizing Neuromuscular Blocker [EPC], Neuromuscular Depolarizing Blockade [PE]",$53.27,58
64896-669,mebendazole,Amneal Pharmaceuticals LLC,100,mg/1,Anthelmintic [EPC],$5.95,57
50090-5326,Cyclobenzaprine Hydrochloride,A-S Medication Solutions,7.5,mg/1,"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",$183.78,89
51662-1586,NALOXONE HYDROCHLORIDE,"HF Acquisition Co LLC, DBA HealthFirst",1,mg/mL,"Opioid Antagonist [EPC], Opioid Antagonists [MoA]",$20.03,25
42023-221,ertapenem sodium,Par Pharmaceutical Inc.,1,g/1,"Carbapenems [CS], Penem Antibacterial [EPC]",$105.76,88
59651-174,Doxepin Hydrochloride,Aurobindo Pharma Limited,25,mg/1,Tricyclic Antidepressant [EPC],$63.98,5
69238-1629,Estradiol,Amneal Pharmaceuticals NY LLC,0.025,mg/d,"Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC]",$5.25,70
16714-059,Febuxostat,NorthStar RxLLC,40,mg/1,"Xanthine Oxidase Inhibitor [EPC], Xanthine Oxidase Inhibitors [MoA]",$192.88,91
51407-380,Mexiletine Hydrochloride,"Golden State Medical Supply, Inc.",200,mg/1,Antiarrhythmic [EPC],$8.53,92
70151-001,Oxygen,Central Welding Supply Company,990,mL/L,,$20.87,20
43063-406,hydroxyzine pamoate,"PD-Rx Pharmaceuticals, Inc.",25,mg/1,"Antihistamine [EPC], Histamine Receptor Antagonists [MoA]",$23.55,48
42806-317,Methadone Hydrochloride,"Epic Pharma, LLC",5,mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$63.25,89
68071-1892,Quetiapine Fumarate,"NuCare Pharmaceuticals, Inc.",25,mg/1,Atypical Antipsychotic [EPC],$89.54,61
0591-3720,Tranexamic Acid,"Actavis Pharma, Inc.",650,mg/1,"Antifibrinolytic Agent [EPC], Decreased Fibrinolysis [PE]",$100.10,93
72864-562,"hydrocortisone, hydroquinone, tretinoin",O Skin Pharmaceutical Corporation,.01; .08; .001,g/g; g/g; g/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Depigmenting Activity [PE], Melanin Synthesis Inhibitor [EPC], Melanin Synthesis Inhibitors [MoA], Retinoid [EPC], Retinoids [CS]",$11.26,11
59762-0068,alprazolam,Greenstone LLC,3,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$65.98,64
0781-3458,Phenylephrine Hydrochloride,Sandoz Inc,10,mg/mL,"Adrenergic alpha1-Agonists [MoA], alpha-1 Adrenergic Agonist [EPC]",$20.13,27
63187-489,Ibuprofen,Proficient Rx LP,400,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$14.86,35
0615-7976,Levetiracetam,"NCS HealthCare of KY, LLC dba Vangard Labs",250,mg/1,Decreased Central Nervous System Disorganized Electrical Activity [PE],$12.31,83
71610-693,Prazosin Hydrochloride,"Aphena Pharma Solutions - Tennessee, LLC",1,mg/1,"Adrenergic alpha-Antagonists [MoA], alpha-Adrenergic Blocker [EPC]",$45.52,6
46708-388,DOXYCYCLINE HYCLATE,Alembic Pharmaceuticals Limited,150,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$69.67,63
33342-328,Triamcinolone Acetonide,Macleods Pharmaceuticals Limited,5,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$0.96,46
57237-062,Finasteride,"Rising Health, LLC",5,mg/1,"5-alpha Reductase Inhibitor [EPC], 5-alpha Reductase Inhibitors [MoA]",$118.12,8
71610-678,allopurinol,"Aphena Pharma Solutions - Tennessee, LLC",100,mg/1,"Xanthine Oxidase Inhibitor [EPC], Xanthine Oxidase Inhibitors [MoA]",$27.94,73
52584-087,cefazolin,"General Injectables & Vaccines, Inc.",1,g/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$44.76,57
11704-101,atropine,Meridian Medical Technologies LLC,2,mg/.7mL,"Anticholinergic [EPC], Cholinergic Antagonists [MoA], Cholinergic Muscarinic Antagonist [EPC], Cholinergic Muscarinic Antagonists [MoA]",$33.62,98
0603-5336,Prednisone,"Par Pharmaceutical, Inc.",2.5,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$45.33,66
63629-5042,Pramipexole Dihydrochloride,Bryant Ranch Prepack,0.125,mg/1,"Dopamine Agonists [MoA], Nonergot Dopamine Agonist [EPC]",$63.98,6
29300-333,Chlorthalidone,"Unichem Pharmaceuticals (USA), Inc.",25,mg/1,"Increased Diuresis [PE], Thiazide-like Diuretic [EPC]",$143.28,84
50914-7731,Iodinated I-131 Albumin,"Iso-Tex Diagnostics, Inc.",1,mCi/mL,Radiopharmaceutical Activity [MoA],$98.59,80
59651-047,ARMODAFINIL,AUROBINDO PHARMA LIMITED,200,mg/1,,$0.17,71
76282-405,gabapentin,Exelan Pharmaceuticals Inc.,600,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$60.20,38
68071-5230,ondansetron,"NuCare Pharmaceuticals,Inc.",8,mg/1,"Serotonin 3 Receptor Antagonists [MoA], Serotonin-3 Receptor Antagonist [EPC]",$18.58,87
54288-125,Potassium Chloride for Oral Solution,BPI Labs LLC,1.5,g/1.58g,"Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",$75.12,39
25021-230,irinotecan hydrochloride,Sagent Pharmaceuticals,20,mg/mL,"Topoisomerase Inhibitor [EPC], Topoisomerase Inhibitors [MoA]",$96.63,75
34057-006,Air,"Oxarc, Inc.",1000,mL/L,,$2.15,82
65862-032,Mirtazapine,Aurobindo Pharma Limited,45,mg/1,,$15.36,48
63187-213,Terbinafine,Proficient Rx LP,250,mg/1,"Allylamine Antifungal [EPC], Allylamine [CS]",$10.23,95
68400-324,Sodium Fluoride,"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc",4.086,g/454g,,$88.52,30
62332-060,CANDESARTAN CILEXETIL,Alembic Pharmaceuticals Inc.,32,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$148.18,3
65757-402,aripiprazole lauroxil,"Alkermes, Inc.",662,mg/2.4mL,,$0.28,63
24794-103,Sodium Fluoride,Crosstex International Inc.,5.6,g/454g,,$12.97,4
50268-297,ergocalciferol,AvPAK,1.25,mg/1,"Ergocalciferols [CS], Provitamin D2 Compound [EPC]",$10.52,60
65862-106,Efavirenz,Aurobindo Pharma Limited,200,mg/1,"Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A Inducers [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Non-Nucleoside Analog [EXT], Non-Nucleoside Reverse Transcriptase Inhibitors [MoA]",$3.51,37
0527-3282,Levothyroxine Sodium,"Lannett Company, Inc",75,ug/1,"Thyroxine [CS], l-Thyroxine [EPC]",$53.37,38
67457-863,Granisetron Hydrochloride,Mylan Institutional LLC,1,mg/mL,"Serotonin 3 Receptor Antagonists [MoA], Serotonin-3 Receptor Antagonist [EPC]",$55.16,54
0480-3470,Nitrofurantoin (monohydrate/macrocrystals),"Teva Pharmaceuticals USA, Inc.",25; 75,mg/1; mg/1,"Nitrofuran Antibacterial [EPC], Nitrofuran Antibacterial [EPC], Nitrofurans [CS], Nitrofurans [CS]",$19.41,93
63187-064,Ergocalciferol,Proficient Rx LP,1.25,mg/1,"Ergocalciferols [CS], Provitamin D2 Compound [EPC]",$7.54,96
71335-1309,Sulfamethoxazole and Trimethoprim,Bryant Ranch Prepack,800; 160,mg/1; mg/1,"Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]",$41.29,63
46708-152,Desvenlafaxine,Alembic Pharmaceuticals Limited,50,mg/1,"Cytochrome P450 2D6 Inhibitors [MoA], Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",$197.68,88
71335-0915,Clonidine Hydrochloride,Bryant Ranch Prepack,0.3,mg/1,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$39.30,26
55700-677,Sildenafil,Lake Erie Medical DBA Quality Care Products LLC,20,mg/1,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",$20.00,81
16714-201,Ondansetron,NorthStar Rx LLC,8,mg/1,"Serotonin 3 Receptor Antagonists [MoA], Serotonin-3 Receptor Antagonist [EPC]",$172.32,69
55289-037,paroxetine hydrochloride hemihydrate,"PD-Rx Pharmaceuticals, Inc.",10,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$1.92,71
70518-3388,Tacrolimus,REMEDYREPACK INC.,1,mg/1,"Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA]",$81.45,86
62559-993,Fluconazole,"ANI Pharmaceuticals, Inc.",200,mg/1,"Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]",$25.79,35
0404-9932,Phenytoin Sodium,"Henry Schein, Inc.",50,mg/mL,"Anti-epileptic Agent [EPC], Cytochrome P450 1A2 Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C19 Inducers [MoA], Cytochrome P450 2C8 Inducers [MoA], Cytochrome P450 2C9 Inducers [MoA], Cytochrome P450 2D6 Inducers [MoA], Cytochrome P450 3A Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$7.12,4
50742-514,nitroglycerin,"Ingenus Pharmaceuticals, LLC",40,mg/1,"Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]",$7.77,66
0591-2287,Propafenone Hydrochloride,"Actavis Pharma, Inc.",425,mg/1,Antiarrhythmic [EPC],$1.36,37
70518-2601,citalopram,REMEDYREPACK INC.,40,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$81.88,14
70518-3457,Divalproex sodium,REMEDYREPACK INC.,125,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Mood Stabilizer [EPC]",$3.66,77
55037-640,Oxygen/Helium 50/50,"MATHESON TRI-GAS, INC.",500,mL/L,,$55.34,81
0615-8210,benztropine mesylate,"NCS HealthCare of KY, LLC dba Vangard Labs",0.5,mg/1,"Anticholinergic [EPC], Antihistamine [EPC], Cholinergic Antagonists [MoA], Histamine Receptor Antagonists [MoA]",$35.00,63
16714-006,Enoxaparin Sodium,NorthStar Rx LLC,100,mg/mL,"Heparin, Low-Molecular-Weight [CS], Low Molecular Weight Heparin [EPC]",$27.26,52
80425-0291,Carisoprodol,"Advanced Rx Pharmacy of Tennessee, LLC",350,mg/1,"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",$126.60,30
63187-952,bupropion hydrochloride,Proficient Rx LP,100,mg/1,"Aminoketone [EPC], Dopamine Uptake Inhibitors [MoA], Increased Dopamine Activity [PE], Increased Norepinephrine Activity [PE], Norepinephrine Uptake Inhibitors [MoA]",$145.31,32
27808-163,sildenafil citrate,Tris Pharma Inc,10,mg/mL,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",$19.67,13
68180-153,DESLORATADINE,"Lupin Pharmaceuticals, Inc.",5,mg/1,"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]",$0.95,61
47335-894,Clopidogrel Bisulfate,"Sun Pharmaceutical Industries, Inc.",75,mg/1,"Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",$30.91,60
45802-390,Tacrolimus,Perrigo New York Inc,0.3,mg/g,"Calcineurin Inhibitor Immunosuppressant [EPC], Calcineurin Inhibitors [MoA]",$78.12,20
76420-542,Tadalafil,"Asclemed USA, Inc.",2.5,mg/1,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",$129.87,62
60505-6097,ibandronate sodium,Apotex Corp.,3,mg/3mL,"Bisphosphonate [EPC], Diphosphonates [CS]",$98.12,65
69800-6503,Immune Globulin Intravenous (Human) 10%,"ADMA Biologics, Inc.",10,g/100mL,"Antigen Neutralization [MoA], Human Immunoglobulin G [EPC], Immunoglobulins [CS], Passively Acquired Immunity [PE]",$137.29,5
60505-3797,Pregabalin,ApotexCorp,150,mg/1,,$65.01,18
70771-1424,Azithromycin,Zydus Lifesciences Limited,200,mg/5mL,"Macrolide Antimicrobial [EPC], Macrolides [CS]",$137.23,91
51672-4194,Clindamycin Phosphate,"Taro Pharmaceuticals U.S.A., Inc.",10,mg/g,"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",$88.24,38
68012-054,omeprazole and sodium bicarbonate,"Santarus, Inc..",40; 1680,mg/1; mg/1,"Alkalinizing Activity [MoA], Cytochrome P450 2C19 Inhibitors [MoA], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$18.05,31
71930-020,Hydrocodone Bitartrate and Acetaminophen,Eywa Pharma Inc,325; 7.5,mg/1; mg/1,"Opioid Agonist [EPC], Opioid Agonists [MoA]",$158.40,60
68788-9853,Penicillin V Potassium,"Preferred Pharmaceuticals, Inc",125,mg/5mL,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",$1.94,55
71205-041,Glipizide,Proficient Rx LP,5,mg/1,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$157.86,52
51672-4083,Hydrocortisone Butyrate,"Taro Pharmaceuticals U.S.A., Inc.",1,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$144.71,76
70727-529,"netarsudil and latanoprost ophthalmic solution, 0.02%/0.005%","Alcon Laboratories, Inc.",.05; .2,mg/mL; mg/mL,"Prostaglandin Analog [EPC], Prostaglandins [CS], Rho Kinase Inhibitor [EPC], Rho Kinase Inhibitors [MoA]",$39.97,96
0703-4244,CARBOplatin,"Teva Parenteral Medicines, Inc.",10,mg/mL,"Platinum-based Drug [EPC], Platinum-containing Compounds [EXT]",$26.16,70
70934-453,zolpidem tartrate,"Denton Pharma, Inc. DBA Northwind Pharmaceuticals",10,mg/1,"Central Nervous System Depression [PE], GABA A Agonists [MoA], Pyridines [CS], gamma-Aminobutyric Acid-ergic Agonist [EPC]",$123.21,20
50090-4575,Clindamycin hydrochloride,A-S Medication Solutions,300,mg/1,"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",$50.68,9
68071-2684,Lidocaine,"NuCare Pharmaceuticals,Inc.",50,mg/g,"Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE]",$8.44,82
0378-8767,Buprenorphine and Naloxone,Mylan Pharmaceuticals Inc.,8; 2,mg/1; mg/1,"Opioid Antagonist [EPC], Opioid Antagonists [MoA], Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]",$133.62,35
68001-374,Isosorbide Dinitrate,BluePoint Laboratories,10,mg/1,"Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]",$25.61,100
69102-137,LAMOTRIGINE,"OWP Pharmaceuticals, Inc.",,,,$182.95,42
61703-323,BLEOMYCIN,"Hospira, Inc.",30,[USP'U]/1,Cytoprotective Agent [EPC],$56.96,6
27808-241,Pregabalin,Tris Pharma Inc,300,mg/1,,$24.91,30
63090-100,pimavanserin tartrate,Acadia Pharmaceuticals Inc.,10,mg/1,Atypical Antipsychotic [EPC],$149.93,11
51862-635,Fentanyl Citrate,Mayne Pharma,200,ug/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$4.11,90
0781-2689,dexmethylphenidate hydrochloride,Sandoz Inc,40,mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE]",$39.22,19
70518-3059,Cephalexin,REMEDYREPACK INC.,500,mg/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$20.22,88
42858-722,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate, and Amphetamine Sulfate",Rhodes Pharmaceuticals L.P.,1.875; 1.875; 1.875; 1.875,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE]",$166.01,4
59762-4538,medroxyprogesterone acetate,Greenstone LLC,150,mg/mL,"Progesterone Congeners [CS], Progestin [EPC]",$48.79,60
55111-563,Atomoxetine,Dr. Reddy's Laboratories Limited,80,mg/1,"Norepinephrine Reuptake Inhibitor [EPC], Norepinephrine Uptake Inhibitors [MoA]",$7.76,11
63629-8527,Paroxetine Hydrochloride,Bryant Ranch Prepack,25,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$29.10,82
55150-113,Ampicillin Sodium,Eugia US LLC,1,g/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",$0.07,63
72276-001,Oxygen,MITCHELL WELDING SUPPLY,990,mL/L,,$63.84,94
72789-296,Hydrochlorothiazide,"PD-Rx Pharmaceuticals, Inc.",25,mg/1,"Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS]",$38.14,60
67877-441,Rosuvastatin Calcium,"Ascend Laboratories, LLC",20,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$8.39,64
70518-1439,Tizanidine,REMEDYREPACK INC.,4,mg/1,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$93.41,44
72789-048,Glimepiride,"PD-Rx Pharmaceuticals, Inc.",4,mg/1,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$88.46,82
63629-8817,Hydrocortisone,Bryant Ranch Prepack,25,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$151.83,49
0904-7076,venlafaxine hydrochloride,Major Pharmaceuticals,150,mg/1,"Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",$67.15,2
51407-207,bupropion hydrochloride,"Golden State Medical Supply, Inc.",300,mg/1,"Aminoketone [EPC], Dopamine Uptake Inhibitors [MoA], Increased Dopamine Activity [PE], Increased Norepinephrine Activity [PE], Norepinephrine Uptake Inhibitors [MoA]",$117.01,82
49884-723,zileuton,"Par Pharmaceutical, Inc.",600,mg/1,"5-Lipoxygenase Inhibitor [EPC], 5-Lipoxygenase Inhibitors [MoA], Decreased Leukotriene Production [PE]",$56.06,69
47781-545,minocycline hydrochloride,"Alvogen, Inc.",75,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$116.24,11
0591-5643,Minoxidil,"Actavis Pharma, Inc.",10,mg/1,"Arteriolar Vasodilation [PE], Arteriolar Vasodilator [EPC]",$21.03,72
42291-506,Potassium Chloride,AvKARE,750,mg/1,"Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",$4.47,99
0378-0317,cimetidine,Mylan Pharmaceuticals Inc.,300,mg/1,"Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",$120.83,90
16729-464,Phenylephrine hydrochloride,"Accord Healthcare, Inc.",10,mg/mL,"Adrenergic alpha1-Agonists [MoA], alpha-1 Adrenergic Agonist [EPC]",$34.77,33
68071-5065,Amoxicillin and Clavulanate Potassium,"NuCare Pharmaceuticals,Inc.",875; 125,mg/1; mg/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]",$138.05,82
58118-0626,phenobarbital,"Clinical Solutions Wholesale, LLC",32.4,mg/1,,$63.91,69
31722-520,Hydralazine Hydrochloride,"Camber Pharmaceuticals, Inc.",25,mg/1,"Arteriolar Vasodilation [PE], Arteriolar Vasodilator [EPC]",$9.92,3
71205-073,Clopidogrel Bisulfate,Proficient Rx LP,75,mg/1,"Cytochrome P450 2C8 Inhibitors [MoA], Decreased Platelet Aggregation [PE], P2Y12 Platelet Inhibitor [EPC], P2Y12 Receptor Antagonists [MoA]",$95.44,64
0168-0020,Hydrocortisone,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,10,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$10.83,90
50090-1418,Amlodipine and Benazepril Hydrochloride,A-S Medication Solutions,10; 20,mg/1; mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Decreased Blood Pressure [PE], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$18.92,42
70301-1001,calcifediol,OPKO Pharmaceuticals LLC,30,ug/1,"Cholecalciferol [CS], Vitamin D3 Analog [EPC]",$41.92,12
